h_name,pincode,contact
Supratch Voluntary Blood Bank,380054,"079 40058958, 40054400, 40057317"
Help Voluntary Blood Bank (Sanchalit Help Charitable Trust),380008,079 65136744
Sterling Addlife India Limited,380052,079 40011111
"The Gujarat Cancer Society, Medical College Hospital and Research Centre",380025,079 6648138079 66048000
"Indian Red Cross Society, Amreli",365601,"02792 223034, 232854"
Indu Voluntary Blood Bank (Managed by Charotar Health Research Foundation Trust),NA,02692 259596
A.D.Gorwala Blood BankPramukhswami Medical College and Shree krishna Hospital,388325,"02692 221508, 222130"
Indian Red Cross Society,388001,"02692 243406, 02692 268822"
Indian Red Cross Society,388450,02697 222251
Shree Ghanshyam Pathology Laboratory and Blood Bank,NA,"02692 252744, 02692 252667"
Blood BankBaradpura,385001,"02742 246914, 245899"
Gayatri Voluntary Blood Bank and Computerised Pathology Laboratory,NA,02742 253475
Bhoomi Voluntary Blood Bank,385520,"02742 260632, 02742 260633, 02742 256475"
Bhansali Trust Sanchalit Gandhi Lincoln (Vol) Blood Bank,385535,02744 220172
"Vikas Voluntary Blood Bank, Computerised Pathology Laboratory",NA,02744 230342
Dharti Voluntary Blood Bank,NA,02748 222443
Saraswati Voluntary Blood Bank,NA,02748 222011
Gayatri Voluntary Blood Bank,NA,02744 230342
Adarsh Voluntary Blood Bank,NA,NA
Red Cross Blood Bank,392001,"02642 244281, 02642 243603"
Healthcare Society Sanchalit Kumarpal Gandhi Blood Bank,NA,02646 244530
Sir T. General Hospital and Medical College,364001,0278 2423250
Bhavnagar Blood Bank,364001,0278 2561526
Bambhaniya Voluntary Blood Bank,364001,"0278 2224744, 3004744"
Smt.Sonaliben A.Shah Blood Bank,NA,"0278 255361, 256099"
Navkar Charitable Trust,364290,02844 224464
Tulsi Pathology Laboratory and Blood Bank,NA,02848 252707
Mayur Blood Bank,NA,02832 231324
G.K. General Hospital and Adani Medical College,370001,02832 250150
Jivanjyot Blood Bank,NA,02832 222812
Shri Rajabhai Patel Blood Bank,370201,"02836 257366, 257323, 257333"
Purna Blood Bank,NA,NA
Matrushri Meghbai Premji Jetha Hospital and Research Centre,370001,"02832 231133, 231144"
Samarth Raktdan Kendra,389151,"02673 223239, 242514"
Kiran Voluntary Blood,NA,02673 246212
Indian Red Cross Society,389151,"02673- 224422, 2655320"
Shraddhadeep Pathology Lab and Blood Bank,NA,079 23222474
Apollo Hospitals International Ltd,NA,079 66701825
Patel Narayanbhai Narsinhbhai (Gulabpurawala) Voluntary Blood Bank.,NA,02763 270085
Indian Red Cross Society,382721,02764 227836
Guru Govindsingh Hospital,361008,0288 2661052
Jamnagar Voluntary Blood Bank,NA,"0288 2673339, 2541070"
General Hospital,NA,02833 234704
Mithapur Hospital Tata Chemical Ltd.,NA,NA
Divyajyoti Voluntary Blood,NA,"02875 252410, 224236"
General and CMZ Hospital Blood Bank,NA,"0285 2651436, 2620652"
Sardar Patel Voluntary Blood Bank,NA,02871 233353
Shri Jivanprakash Foundation Voluntary Blood Bank,NA,"0285 2630672, 2631672"
Navjeevan Blood Bank and Clinical Laboratory,NA,02876 221415
Navdeep Voluntary Blood Bank,NA,0285 2631127
Lions Medical Centre,NA,02698 220516
Chhotalal Ranchhoddas Parikh Blood Bank,387620,02691 263255
Indian Red Cross Society Blood Bank (Shri H.V.Desai Blood Bank),387001,0268 2566944
Muljibhai Patel Urological Hospital,NA,"0268 2520323, 2520325"
"Gujarat Methodist Church Cardiac Care and Research Society, Dharamsinh Desai Memorial Methodist Institute of Cardiology and cardiovascular surgery",387002,"0268 255711, 2555711, 2555723"
General Hospital,384001,"02762 297301, 221475"
Mehsana Jaycees Charitable Trust Sanchalit Sarvodaya Commercial Co.op Voluntary Blood Bank,384002,"02762 251252, 243634"
"Sardar Seva Trust Sanchalit Unjha Nagrik Sahkari Bank Ltd.,Voluntary Blood Bank",384170,02767 248755
"Visnagar Voluntary Blood Bank, Visnagar",NA,02765 220903
Indian Red Cross Society,396445,"02637 257452, 253172"
Nanubhai Mavljibhai Patel Blood Bank,NA,02634 285913
General Hospital,389001,02672 243192
Indian Red Cross Society,389001,02672 252830
Raktdan Kendra (Voluntary Blood Bank),389001,"02672 650004, 02672 242153"
Seventilal Kantilal Blood Bank,384265,"02766 231477, 02766 233496"
Bhansali Trust Raktadan Kendra,NA,"02746 277343, 02746 277249"
Government Medical and General Hospital,NA,02767 223086
G.M.E.R.S. Medical College and Hospital,NA,02766 233311
General Hospital,360575,0286 2242910
Asha Children Hospital and Blood Bank,360575,0286 2210522
Shri Ram Voluntary Blood Bank ( Shree Ram Education Medical and charitable Trust-Junagadh),NA,0286 2240092
General Hospital,360001,"0281 2450385, 0281 2458337, 0281 2458338, 0281 2458339"
Rajkot Voluntary Blood Bank and Research Centre,360002,0281 2234242
Smt.S.C. Patel Field Marshal Blood Bank,360002,"0281 2480043, 0281 2481717"
Nathani Voluntary Blood Bank and Blood Transfusion Centre,NA,"0281 2480659, 0281 6522111"
Red Cross Blood Bank,360001,"0281 2466260, 0281 2464442"
Saurashtra Voluntary Blood Bank and Research CentreKathiyawad Medical and Education Charitable Trust.,360002,0281 2450301
Shiv Voluntary Blood BankLate Shri Mansukhbhai Ganeshbhai Marvania Charitable Trust Organised,NA,02822 292577
Jetpur Medical Foundation,NA,02827 226123
Jagruti Charitable Trust Blood Bank,360410,02824 222485
Astha Voluntary Blood Bank,NA,02825 220828
General Hospital,383001,"02772 246618, 02772 241551"
Indian Red Cross Society,383001,"02772 240789, 02772 245110"
"Patel Voluntary Blood Bank, Patel Foundation Trust Sanchalit",NA,NA
Trimurti Hospital Vol. Blood bank (Shrimati Dahiben Ratilal Charitable Trust Sanchalit),NA,02778 251763
New Civil Hospital,395003,"0261 2230909, 0261 2244456 to 59"
Maskati Charitable Municipal Hospital Surat Municipal Corporation Blood Bank,NA,NA
"Surat Raktdan Kendra and Research Centre , Regional Blood Transfusion CentreKhatodara health Centre",394210,"0261 2630114, 0261 2635533"
"Loksamarpan Trust, Blood Bank",395006,"0261 2553020, 0261 2547575"
Aminaben Gangat and Aheshaben Patel Blood Bank,395003,"0261 2401362, 0261 2400094"
Shree mahavir Health and Medical Relief Society Shri B.D.Mehta Mahavir Cardiac Institute.,395001,"0261 2471770, 0261 2462116"
Shri Sardar Smarak Hospital,NA,"02622 220089, 02622 220507"
Government Hospital,363001,02752 222052
C.U.Shah Medical College and Hospital (Prop. Of Saurashtra Medical Centre),363001,"02752 304041, 02752 304000-4"
Shree Rang Voluntary Blood Bank,NA,NA
Shraddha Voluntary Blood Bank and Pathology Laboratory,NA,02754 280301
Laxmiben Khushalbhai Patel Blood Bank,394650,02626 220251
Maliba Raktadan Kendra,NA,02626 290181
S.S.G.Hospital,390001,0265 2424848
Jamnabai General Hospital,390001,0265 2517400
"Medical Care Centre Trust, Shri Jalaram Blood Bank, Kashiben Gordhandas Patel Children Hospital",390018,0265 2464130
Suraktam Blood Bank (Run by Vadodara District AIDS Control Society),390005,"0265 2464130, 0265 2363660, 0265 2225903"
Indu Voluntary Blood BankManage Indu Health Research Foundation Trust,390001,"0265 2437676, 0265 2411477"
Bhailal Amin General Hospital Blood Bank,NA,"0265 2307038, 0265 2307039, 0265 2286666"
Dhiraj Blood BankDhiraj Hospital Managed By K. M. Shah Charitable Trust.,391760,"02668 225264, 02668 245264-65-66"
Kailash Cancer Hospital and Research Centre,390025,0265 3961300
GMERS General Hospital,NA,"02632 251744, 02632 251911"
"Shree Narhari Manav Kalyan Trust "" Narhari Hospital""",NA,NA
Lions Medical Research and Educational Charitable Trust Blood Bank,396521,02634 234311
Valsad Raktdan Kendra,396001,"02632 242944, 02632 253650"
Sardar Billadwala Pardi Peoples (S.B.P.P.) Co.op. Bank Foundation Blood Bank (Trustee of Manav Arogya Seva Kendra),396125,0260 2374422
Smt.Puriben Popat Lakha Blood Bank(Jamnagar-Nana Mandha),396195,"0260 2434600, 0260 2434601"
"Nukem Blood Bank Haria L.G.Rotary Hospital, Rotary Charitable Trust Vapi",NA,"0260 2430654, 0260 2400053, 0260 6638888"
"Surat Municipal Institute for Medical Education and Research, (SMIMER)",395010,0261 2368040-44
"Mafatben Uttamlal Pethani Voluntary Blood Bank, Bhagwan Mahavir Seva Samiti Sanchalit",385001,"02742 246914, 02742 245899"
Indian Medical Association (IMA),382845,02763 270085
General Hospital (ESIS) Blood Bank,380024,"079 22745770, 079 22743935"
General Hospital Blood Bank,385001,02742 253083
General Hospital,394710,02631 220205
General Hospital,363641,"02822 230538, 02822 230203"
General Hospital,134003,0171 2552908
General Hospital,NA,01282 251236
General Hospital,NA,0124 2321121
"General Hospital Blood Bank, Regional Blood Transfusion Centre",132001,0184 2268899
General Hospital Blood Bank,131001,0130 2231931
General Hospital Blood Bank,125055,01666 240122
General Hospital Blood Bank,127021,01664 242034
General Hospital Blood Bank Transfusion Center,136118,"01744 293580,01744 290344"
General Hospital Blood Bank,121001,0129 2411881
"Red Cross Blood Bank, Indian Red Cross Society",132103,0180 4008357
Regional Blood Transfusion Service,NA,01662 275566
General Hospital Blood Bank,126102,01681 245454
Trauma Centre Blood Bank,NA,01732 237811
Nalwa Pathology and Microbiology Laboratory,NA,01662 230699
Command Hospital,NA,0172 2867604
District Hospital,136027,"01746 234813,01746 230262"
Military Hospital,NA,0171 2626557
Escort Hospital,NA,"0129 2466022,0129 2466020"
General Hospital,NA,0172 2587162
Central Medical Centre,NA,"01662 237476,01662 232360"
Nirmal Institute of Medical Science Blood Bank,NA,"0184 2201999,0184 2202999"
Sunflag Hospital and Research Centre,NA,"0129 2263584,0129 2263585,0129 2263586,0129 2263587"
Maharaja Agrasen Institute of Medical Research and Education,NA,"01669 281193,01669 281194"
"Haryana Blood Bank, Near Jindal Hospital",NA,01662 220740
Shiv Shakti Blood Bank,NA,"01666 234735,01666 234117"
Prem Blood Bank,NA,0180 2635900
Kapisthal Blood Bank,NA,01746 226874
Diamond Blood bank,NA,01275 240240
"Blood Bank, Pandit Ram Prakash Hospital and Kidney Centre",NA,0184 2252401
"National Blood Bank, Situated at Basement of Prem Munjal Hospital",NA,01662 225900
Manglam Blood Bank,NA,01662 248767
"Gurgaon Blood Bank, Gurgaon",NA,NA
Save Life Blood Bank,NA,"0184 2207557,0184 2207558"
Hisar Blood Bank,NA,01662 33291
Pt. B. D. Sharma Post Graduate Institute of Medical Sciences (PGIMS),124001,"01262 211306,01262 212306"
Kurukshetra Blood Bank,NA,01744 291914
"Jagdambe Blood Bank, at Aggarwal Hospital",NA,01692 230692
"Rewari Blood Bank, Rewari",NA,"01274 222955,01274 222607"
"Dr. Anant Ram Janta Hospital Blood Bank, Sciences",NA,01693 244796
City Blood Bank,NA,01664 42123
Shree MAA Blood Bank,NA,01732 646206
MM Institute of Medical Sciences and Research,NA,01731 304550
"National Blood Bank, Kharab Hospital",NA,01662 225900
Philadelphina Mission Hospital,NA,0171 2553295
Bharat Blood Bank,NA,0180 4019800
Panipat Blood Bank,NA,0180 4011150
Sanjeevani Blood Bank,NA,0171 4002002
Sonepat Blood Bank,NA,0130 2218999
Sarvodaya Hospital,NA,0129 4194444
Cryo Banks,NA,0124 4734100
Kaisar Hospital,NA,0172 4500006
Tohana Blood Bank,NA,NA
"Blood Bank, Bapu Maghar Singh Ji International, Blood Bank",NA,0166 6238687
QRG Central Hospital and Research Centre,NA,0129 4090300
Paras Health Care Pvt. Ltd.,NA,0124 4585555
"Sant Bhagat Ji, Maharaj Charitable Hospital",NA,0129 4029070
Artemis Medicare Services Ltd.,NA,0124 6767000
General Hospital,124103,"01251 254014,01251 253133"
General Hospital Blood Bank,123401,01274 254743
Sarvodaya Hospital and Research Centre,NA,0129 4184444
The Medanta Blood Bank,NA,0124 4141414
Asian Institute of Medical Sciences,NA,0129 4253000
Metro Heart Institute with Multispecialty,NA,0129 4277777
Alchemist Institute of Medical Sciences,NA,0124 4511111
"SGT Medical College, Hospital and Research Institute",NA,0124 2278183
General Hospital,NA,01667 225898
Unistem Biosciences Pvt. Ltd.,NA,0124 4078661
Park Hospital,NA,0124 4900000
Fortis Memorial Research Institute,NA,0124 4962244
General Hospital,NA,NA
Life Cell International Private Ltd.,NA,0124 47445353
"SHKM, Medical College",NA,01267 282007
"HIMS Blood Bank, HIMS Hospital",NA,01746 280966
General Hospital,NA,01275 240099
Bhagat Phool Singh Medical College for Women,NA,01263 283063
"Gold Field Blood bank, Gold Field Hospital and Research Centre",NA,0129 2209395
N.C. Medical College and Hospital,NA,0180 2579081
Gangaputra Hospital and Research Centre Blood Bank,NA,01681 237238
TotipotentRX Cell Therapy Pvt. Ltd.,NA,0124 4962251
Medical College Blood Bank,124001,01262 211306
District Hospital Blood Bank,135003,NA
General Hospital Blood Bank (Plateletapheresis),122001,NA
District Hospital Blood Bank(Plateletapheresis),134109,NA
"Blood Bank, Hisar",NA,NA
General Hospital Blood Bank,125001,01662 275566
District Hospital Blood Bank,123029,NA
Medicity Hospital Blood Bank,122001,"0124 4834111, 0124 4141414, 0124 4411441"
Dr RPGMC Tanda,176001,01899 287187
IGMC Shimla,171001,0177 2658339
CHC,177220,01975 284022
Civil Hospital,171207,NA
District Hospital,NA,NA
District Hospital,175101,01902 224778
District Hospital,NA,01899 222223
District Hospital,NA,NA
District Hospital,NA,NA
District Hospital,NA,NA
Deen Dayal Updhayay Hospital,171001,0177 2657225
Zonal Hospital,176215,01899 2223627
Kamla Nehru Hospital,171002,0177 2624841
Zonal Hospital,NA,NA
Netaji Subhash Chander Bose Zonal Hospital,175001,01905 225930
Sub-Divisional Hospital,NA,NA
Bhota Charitable Hospital,NA,01972 255096
Mahatama Gandhi Medical Services,NA,NA
Regional Hospital,172107,01786 222753
Military Hospital,NA,NA
The Registrar Maharshi Markandeshwar University Maharshi Markendeshwar Medical College and Hospital,NA,NA
Malhotra Super Speciality Hospital Blood Bank (A Unit of Malhotra Clinics Pvt Ltd,NA,NA
R.H. Bilaspur,174001,07752 224877
R.H. Chamba,176310,01899 223010
R.H. Hamirpur,177001,01972 222403
R.H. Kullu,175101,01902 223525
R.H. Sirmour,173001,01702 222543
R .H. Solan,173212,01792 224151
R.H. Una,174303,01975 226064
"General Hospital, Blood Bank",NA,01962 263921
Sainik Asptal Blood Bank,NA,0191 2456006
"SKIMS, Blood Bank",190001,0194 2313714
SMHS Hospital Blood Bank,190001,"0194 2452291,0194 2452013"
Government Medical College & Hospital Blood Bank,180001,0194 2401013
SMGS Hospital,180001,"0191 2547635, 0191 2547639"
Bee Enn General Hospital Blood Bank,NA,0191 2555631
"District Hospital, Command Hospital Blood Bank",182104,01992 270402
92 Base Hospital Blood Bank,NA,"0194 856531, 0194 24660009"
District Hospital Blood Bank,184102,"01922 234325, 01922 234323"
District Hospital Blood Bank,NA,01992 270402
District Hospital Blood Bank,182202,1998 266908
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,NA,2662324
General Hospital Blood Bank,NA,01982 254746
Government Hospital Blood Bank,180001,0191 2430041
Government Hospital Blood Bank,NA,01962 263209
SNM Hospital Blood Bank,NA,01982 25214
SDN Hospital Blood Bank,NA,01995 234760
Emergency Hospital Blood Bank,NA,NA
Lal Ded Hospital Blood Bank,190001,"0194 2313714, 0194 2313716"
District Hospital Blood Bank,191111,"01951 255338, 01951 25523701951 255238"
District Hospital Blood Bank,193101,1952 234203
District Hospital Blood Bank,192301,"01933 241530,"
"District Hospital, Kargil Ladakh Kashmir Division",194103,"01985 232300, 01985 232382"
District Hospital,185101,"01965 220152, 01965 220656"
District Hospital Blood Bank,192101,01923 222170
Sub-District Hospital Blood Bank,NA,0195 257236
District Hospital Blood Bank,193221,1955262054
District Hospital Blood bank,NA,"01931 260398, 01931 260398"
Government Bone & Joint Surgery Hospital Blood Bank,NA,0194 2432135
Jawahar Lal Nehru Memorial Hospital,190003,0194 2451527
District Hospital,NA,01995 261410
District Hospital,194101,01982 252014
District Hospital,182144,1998266908
District Hospital,185158,01962 263209
District Hospital,NA,NA
District Hospital,NA,NA
District Hospital,NA,NA
Ispat Hospital,NA,NA
Indian Red Cross Society Blood Bank,NA,NA
Plant Hospital,834004,"0651 2444336, 0651 2444336"
CCL Hospital,834008,NA
Central Hospital,829122,NA
Bokaro General Hospital Blood Bank,NA,NA
Birsha Blood Bank,NA,NA
Abdur Razzaque Ansari,NA,0651 2275717
Sadar Hospital,835223,NA
Guru Nanak Hospital and Research Centre Blood Bank Unit,NA,0651 3291565
Sadar Hospital,NA,NA
Sadar Hospital,NA,06562 224273
Sadar Hospital,NA,06434 236298
Sadar Hospital Blood Bank,NA,06561 222350
Sadar Hospital Blood Bank,822101,06562 222677
Central Hospital Blood Bank,NA,NA
Sadar Hospital,NA,NA
M.G.M. Medical College and Hospital,NA,0657 2432138
Sub-Divisional Hospital Blood Bank,829206,NA
Patliputra Medical College Hospital,826005,0326 2264165
SAI Hospital Blood Bank,827004,NA
Military Hospital,NA,NA
Gua Hospital,NA,NA
Blood Transfusion Unit,NA,NA
Archi Jharkhand Blood Bank,834009,0651 2541862
Sadar Hospital,833201,NA
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,833222,NA
Kiriburu General Hospital,NA,NA
Seventh Day Adventist Hospital Blood Bank,NA,NA
State- of- Art Model Blood Bank,NA,"0651 2541449, 0651 2542928"
Nagarmal Modi Seva Sadan Hospital,NA,NA
Military Hospital Blood Bank,NA,0651 2260646
K. M. Memorial Hospital Blood Bank,827013,06542 235797
Jharkhand Blood Bank,834009,NA
Jamshedpur Blood Bank,831001,0657 2431957
Kidney Hospital and Urology Centre,NA,0651 2360034
Dhanbad S.N. Chokrabarty Memorial Nursing Home,NA,0326 2303621
Rinchi Trust Hospital Blood bank,NA,0651 6450824
Indian Red Cross Society Blood Bank,827001,06542 224555
Apurva Hospital and Research Centre,NA,NA
Sadar Hospital,NA,06436 222050
Sartaj Blood Bank,834001,NA
Indian Red Cross Society,825401,06541 222666
Sadar Hospital,NA,NA
Devkamal Hospital and Research Centre,834005,0651 2512094
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital,NA,NA
Tata Iron and Steel Company (TISCO),825314,NA
Tata Central Hospital,828301,0326 6612273
Blood Bank Bokaro,827013,NA
Dhanbad Blood Bank,NA,NA
Anand Rotary Blood Bank,NA,0651 2540565
"RIMS, Ranchi",NA,NA
PMCH,826005,0326 2230301
MGMMCH,831001,0657 2230092
Sadar Hospital Campus,814112,NA
Sadar Hospital Campus,822114,06561 222005
Sadar Hospital Campus,NA,06532 250357
Sadar Hospital Campus,NA,06546 265289
Sadar Hospital Campus,835302,NA
Indian Red Cross Society (IRCS),NA,"0651 2360290, 0651 2360587"
Sadar Hospital,816109,NA
Bengaluru Blood Bank and Diagnostic Laboratory,500003,NA
"City Transfusion ex-servicemen, Blood bank and Laboratory",570014,NA
HKES Blood Bank Organisation,585105,"08472 220307, 08472 225085"
Bengaluru Rotary TTK Blood Bank Medical Service Trust,560075,080 25293486
KIMS Hospital,560004,080 26613225
Indian Medical Association Blood Bank,584101,NA
Bangalore Baptist Hospital,560024,080 22024700
Sanjaya Gandhi Accident Hospital and Research Institute,560011,080 26564516
Victoria Hospital Blood Bank,560002,NA
K.R.Hospital Blood Bank,570001,NA
K.L.E.Societys Hospital and Medical Research Centre,590010,NA
Fr.Mullers Charitable Institutions,575002,NA
M.S. Ramaiah Medical Teaching Hospital,NA,NA
St. Marthas Hospital,NA,NA
Belgaum Blood Bank and Diagnostic Laboratory,NA,NA
Kidwai Memorial Institute of Oncology Blood Bank,560029,080 26094082
Transfusion Medicine Centre,NA,NA
St. Johns Medical College Hospital,NA,NA
Mallya Hospital No.2,NA,NA
District Hospital,NA,NA
"The District Surgeon, District Hospital",586102,NA
Medical College Hospital Blood Bank,NA,08392 235356
District Hospital Blood Bank,NA,08472 2240630
"General Hospital, Robertson Peth",563122,08253 271041
S.N.R. District Hospital Blood Bank,NA,08152 222035
District Hospital Blood Bank,590001,0831 2425073
Hindustan Aeronautics Limited (HAL Hospital Blood Bank),NA,080 22314632
St.Philomenas Hospital Blood Bank,NA,080 40164348
K.C.General Hospital Blood Bank,560003,NA
Command Hospital Blood Bank Air Force,560007,NA
Sri Sidhartha Medical College Blood Bank,572102,0816 2278867
Sushruta Voluntary Blood Bank,560055,080 23447666
B.L.D.E. Associations Medical College Hospital and Research Centre,586103,NA
Unique Blood Bank and Diagnostic Centre,NA,NA
Mc.Gann Hospital Blood Bank,577201,NA
E.S.I.Hoaspital Blood Bank,560010,NA
Rashtrotthana Blood Bank,560019,NA
"The District Surgeon, District Hospital Blood Bank",572101,0816 2257404
District Hospital Blood Bank,NA,NA
"The District Surgeon, Mallegowda District Hospital Blood Bank",577101,NA
Karnataka Medical College Hospital Blood Bank,580022,NA
Adichunchanagiri Hospital and research centre,571418,08232 287433
Lions Blood Bank,586101,08352 22200050
Hutti Gold Hospital,NA,08532 275049
Sri. Chamarajendra District Hospital Blood Bank,573201,08172 252330
Bapuji Hospital Blood Bank,NA,08192 253850
Rotary Campco Blood Bank,574201,0824 234242
M.R.Diagnostic Research Centre and Blood bank,580029,0836 2253450
The Karnataka Cancer Therapy and Research Institute Smt. Valbai N. Dharamsey Blood Bank,580025,0836 2228217
Holdsworth Memorial Mission Hospital Blood bank,570021,0821 2521650
District Surgeon District Hospital Blood Bank,571401,NA
District Hospital Blood Bank,577501,08194 234710
Sharada Dhanavantari Charitable Hospital Blood Bank,577139,08262 250175
Jeeva Raksha Blood Bank,573201,08172 26204
VISL Hospital Blood Bank,NA,NA
City Hospital Research and Diagnostic Centre,575003,0824 221790
Shimoga Mid Town Rotary Charity Foundation,577201,08182 274333
Jeevanavars Blood Bank,580021,0836 2278320
"Rotary Club Dharwad Mid Town Charitable Trust, The Rotary Blood Bank",500008,0836 2746123
Dr.B.R.Ambedkar Medical College Hospital,NA,080 25463442
"The District Surgeon, Wenlock District Hospital",NA,NA
Hosmat Hospital Unit of Phisicare Services Pvt.Ltd,NA,NA
Holy Cross Hospital,577101,08262 220077
District Hospital,NA,NA
District Hospital,NA,0836 2747747
District Hospital Blood Bank,NA,0820 2520555
Grace Blood Bank and Laboratory,NA,080 23431233
Sri Sathya Sai Institute of Higher Medical Sciences,NA,080 28411500
Dr.B.N.M. Rural Ayurvedic Medical College and Hospital Blood Bank,NA,NA
Bassappa Memorial Hospital,570012,NA
District Hospital,NA,NA
Bagalkot Blood Bank,NA,NA
Navarang Blood Bank,560010,080 23521233
Smt. Vasantidevi Baldota Blood Bank,583203,0839 231901
Hubli Lions Blood Bank,580029,0836 2258080
"Bangalore Lions Service Trust, Lions Blood Bank",560052,080 22266807
MDC Voluntary Blood Bank,NA,08232 231665
B.G.S.Apollo Hospital,NA,0821 2566666
Sri.Jayadeva Institute of Cardiology,560069,080 26534600
The Uttara Kannada Blood Bank and Health Services Society,581343,08382 221851
Vydehi Institute of Medical Science Hospital,NA,080 28410874
Akshay Voluntary Blood Bank,560070,NA
Davangere Blood Bank,NA,08192 236655
IMA Blood BANK,582101,08372 253955
Yenapoya Medical College Blood Bank,575003,0824 2204668
Vikram Hospital and Heart Centre,570020,0832 402121
Bowring and Lady Curzon Hospitals,560051,080 25591362
Health Care Blood Bank,585104,08472 261886
"Kempegowda Medical Service Trust, Millennium Blood Bank",560022,NA
S.K. Voluntary Blood Bank,NA,080 23103524
Navodaya Medical College Hospital and Research Centre Blood Bank,584103,08532 223361
K.V.G Medical College Hospital Blood Bank,574327,0824 230326
J.C. Voluntary Blood Bank,NA,0816 2272980
Al-Ameen Medical College Hospital Blood Bank,NA,08352 270113
Jeevadhara Blood Bank,577301,0821 2444936
GMET?S Dr. Goudars Blood Bank,NA,08352 253604
Indira Gandhi Child Institute of Health,560029,NA
SDM College of Medical Sciences and Hospital Blood Bank,580009,0836 2477777
Rajiv Gandhi Super Speciality Hospital Blood Bank,584102,NA
B.V.V.Sanghas HSK Hospital Blood Bank,587102,08352 235410
Rajarajeshwari Medical College Hospital,NA,080 65666768
Bapuji Educational Association S.S. Institute of Medical Sciences and Research Hospital,NA,08192 266016
Sri Shirdi Parthi Sai Charitable Hospital Blood Bank,583102,NA
Sanjeevini Trust ? Jayanagar Voluntary Blood Bank,560069,080 26494748
BEML Medical Centre Bharat Earth Movers Limited,563115,08153 263208
SJM Blood Bank Basaveshwara Medical College Hospital and Research Centre,NA,08194 222054
Railway Hospital Blood Bank,NA,NA
Sri Vinayaka Charitable Trust? Jeeva Voluntary Blood Bank,560002,NA
MVJ Medical College and Research Hospital,560164,NA
District Hospital Blood Bank,NA,NA
"Indian Red Cross Society, Karnataka Red Cross Blood Bank",560001,NA
Apollo Hospitals a unit of Imperial Cancer Hospital and Research Centre Limited,560076,080 26304050
Vijaya Hospitals Sanjeevini Blood Bank,572103,0816 2257762
Vijayanagar Hospital Blood Bank,560040,080 23358800
"Harsha Hospital Blood Bank, Harsha Hospital",562123,080 27723695
Rotary Charitable Trust Blood Bank,NA,0831 2220702
Bangalore Institute of Oncology,560027,NA
Swamy Vivekananda Charitable Blood Bank,583103,0839 266938
Ocean Blood Bank,560051,080 25552199
Mounesh Hospitals The Jamkhandi Blood Bank,NA,08354 835322357
District Hospital,NA,NA
Vasavi Blood Bank,NA,08194 222666
Rotary Seva Sanghs Dr. B.C. Ajari Memorial The Rotary Blood Bank,591307,0831 225300
Rotary K.R. Hospital Blood Bank,560050,080 28437393
Mahaveer Blood Bank,590001,0831 2430759
Blood Bank,574214,0825 6233939
Rotary Tumkur Central Belli Blood Bank,572201,0816 225277
Veerayoga Institute of Medical Sciences Speciality Hospitals,560037,NA
Rotary Mysore Chandrakala Hospital Blood Bank,570012,0821 4288638
BGS Global Hospitals,560060,080 26255555
Sri Shakti Blood Bank,584128,NA
"Shripad Hegde Kadave Institute of Medical Sciences, T.S.S. Hospital",NA,NA
Indian Red Cross Soceity Blood Bank,NA,08192 252550
"K.L.E.Societys , Dr. Kamal hospital and Medical Research Centre",577001,0824 2444590
Narayana Hrudayalaya,NA,080 27835000
Gopi Blood Bank,583227,08539 8533272191
A.J.Hsopital and Research centre,NA,0824 2225535
Holy Cross Hospital,571443,08226 263116
Columbia Asia referral Hospital,NA,NA
Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Bank,NA,0836 2358838
"Sagar Blood bank, Sagar Hospitals, (Unit of sagr Health care and Diagnostic Services Pvt. Ltd.)",NA,080 42999177
Kasturba Hospital Blood Bank,576104,0820 2922331
Fortis Hospital Pvt. Ltd.,NA,080 66214055
Life Line 24x7 Blood bank,NA,NA
Fortis Hospital Pvt. Ltd.,NA,080 41994515
"KMC, University Medical Centre",575001,NA
Red Cross Sanjeevini Blood Bank,577201,NA
Sagar Hospital,560041,080 26536712
Manipal Hospital Transfusion Services,NA,080 25024357
Yashomathi Medicare and Research Centre (P) Ltd.,560037,080 43221019
Srinivasa Institute of Medical Sciences and Research Centre,575021,0824 2474883
"Tejasvini Hospital, Lions Blood Bank, Tejasvini Hospital",575002,0824 2225994
Manjunath Orthoaedic and Trauma Centre Hospital Blood bank,573201,08172 266124
Indian Red Cross Society,NA,NA
Subbaiah Medical College Blood bank,577201,08182 277505
Life Care Voluntary Blood Bank,560011,080 22446923
Vikarm Hospital Blood Bank,571401,08232 402121
Jeevadhara Voluntary Blood Bank (Aunit of Cauvery Social Services Trust),NA,0821 2444936
"Karnataka Hemophillia Society, Life Line Blood Bank",NA,08192 231948
Hajji Sir Ismail Sati Gosh Hospital,506051,NA
"Nuveen Medical Relief and research Foundation, St.Josephs Hospital Blood Bank",570015,0821 4003900
R.L.Jalappa Hospital and Research Centre,NA,NA
Cauvery Hospital Blood Bank,570011,0821 2425000
Indian Red Cross Society,575001,0824 2423755
The Oxford Medical College Hospital Blood Bank and Research Centre,562107,NA
